,URL,Content_title,Contents,Sentiment
0,https://www.assist-football.com/2022/05/03/%e0%b9%82%e0%b8%9a%e0%b8%a3%e0%b8%b8%e0%b8%aa%e0%b9%80%e0%b8%8b%e0%b8%b5%e0%b8%a2-%e0%b8%94%e0%b8%ad%e0%b8%a3%e0%b9%8c%e0%b8%97%e0%b8%a1%e0%b8%b8%e0%b8%99%e0%b8%94%e0%b9%8c-%e0%b8%a2%e0%b8%b7%e0%b8%99/,เสือเหลืองเฟิร์มคว้า “ชล๊อตเตอร์เบ็ค” เสริมแนวรับเซ็นยาว 5 ปี,โบรุสเซีย ดอร์ทมุนด์ ได้ออกมายืนยันการคว้าตัว ชล๊อตเตอร์เบ็ค มาเสริมแกร่งหลังบ้าน ด้วยสัญญายาว 5 ปี โบรุสเซีย ดอร์ทมุนด์ ได้ออกมาประกาศยืนยันการคว้าตัว นิโก้ ชล๊อตเตอร์เบ็ค กองหลังจาก ไฟร์บวร์ก มาร่วมทีมเป็นที่เรียบร้อยแล้ว ด้วยสัญญาระยะยาว 5 ปี เซ็นเตอร์แบ็ควัย 22 ปี พัฒนาฝีเท้าตัวเองในอคาเดมี่ของ ไฟร์บวร์ก จนกลายมาเป็นกำลังหลักให้กับทีมในปีนี้ ก่อนที่จะโชว์ฟอร์มที่ยอดเยี่ยมอย่างต่อเนื่อง และได้รับโอกาสติดทีมชาติเยอรมันไปแล้วถึง 2 นัด อย่างไรก็ดีล่าสุดเป็น เสือเหลือง ที่ได้ออกมายืนยันการคว้าตัว ปราการหลังทีมชาติเยอรมัน มาร่วมทีมด้วยสัญญาระยะยาว 5 ปี โดยที่นักเตะจะย้ายมาร่วมทีมหลังจบฤดูกาลนี้ และมีรายงานออกมาว่านักเตะมีค่าตัวประมาณ 25 ล้านยูโร ส่วนทาง ไฟร์บวร์ก เองก็ไม่รอช้า และกำลังจะได้ตัวแทน ชล๊อตเตอร์เบ็ค นั่นก็คือ มัตธิอัส กินเตอร์ อดีตกองหลังตัวเก่งของพวกเขาจาก โบรุสเซีย มึนเช่นกลัดบัค กลับมาร่วมทีมแบบไร้ค่าตัว ,negative
1,https://www.assist-football.com/2022/05/03/%e0%b8%81%e0%b8%b2%e0%b8%8d%e0%b8%b2%e0%b8%a3%e0%b8%b5%e0%b9%88-%e0%b9%80%e0%b8%9f%e0%b8%b4%e0%b8%a3%e0%b9%8c%e0%b8%a1%e0%b9%80%e0%b8%94%e0%b9%89%e0%b8%87-%e0%b8%a7%e0%b8%ad%e0%b8%a5%e0%b9%80%e0%b8%95/,เซ่นฟอร์มห่วย! กาญารี่เฟิร์มปลด “มาซซาร์รี่” พ้นเก้าอี้โค้ช,กาญารี่ ยืนยันการปลด วอลเตอร์ มาซซาร์รี่ ออกจากตำแหน่งกุนซือเป็นทีเรียบร้อยแล้ว หลังทำทีมได้อย่างน่าผิดหวัง กาญารี่ ออกมาประกาศยืนยันการปลด วอลเตอร์ มาซซาร์รี่ ออกจากตำแหน่งผู้จัดการทีมเป็นที่เรียบร้อยแล้ว จากผลงานสุดห่วยของทีมในช่วงหลัง เฮดโค้ชวัย 60 ปี ได้เข้ามารับงานคุมทีม ชาวเกาะ ในช่วงเดือนกันยายนเมื่อปีที่แล้ว และทำผลงานได้อย่างย่ำแย่มาเรื่อยๆ จนในปัจจุบันทีมหล่นไปอยู่อันดับ 17 ของตารางคะแนน และมีแต้มเหนือโซนตกชั้นเพียง 3 แต้มเท่านั้น รายงานล่าสุดเผยว่า ทางสโมสรได้ทำการปลด กุนซือชาวอิตาลี่ ออกจากตำแหน่งกุนซือเป็นที่เรียบร้อยแล้ว แม้จะยังเหลือการแข่งขันในเกมลีกอีก 3 นัดก็ตาม รายงานยังระบุเพิ่มเติมอีกว่า สัญญาของ มาซซาร์รี่ มีเงื่อไขในการขยายออกไปแบบอัตโนมัติจนถึงปี 2024 หากเขาถูกปลดออกจากตำแหน่งโดยที่ทีมยังอยู่เหนือโซนตกชั้น ทำหทางสโมสรต้องจ่ายเงินชดเชยในการปลดครั้งนี้ด้วย ,negative
2,https://www.assist-football.com/2022/05/03/%e0%b9%80%e0%b8%8a%e0%b8%a5%e0%b8%8b%e0%b8%b5-%e0%b8%a2%e0%b8%b1%e0%b8%87%e0%b9%80%e0%b8%a5%e0%b9%87%e0%b8%87-%e0%b8%8a%e0%b8%b8%e0%b8%a5%e0%b8%aa%e0%b9%8c-%e0%b8%84%e0%b8%b8%e0%b8%99%e0%b9%80/,จะเอาให้ได้! สิงห์ยังสน “คุนเด้” เสริมแกร่งแนวรับ,เชลซี ยังคงให้ความสนใจคว้าตัว ชุลส์ คุนเด้ มาแก้ไขปัญหาเกมรับในช่วงซัมเมอร์นี้ มีรายงานข่าวว่า เชลซี ยังคงให้ความสนใจในการซื้อตัว ชุลส์ คุนเด้ แนวรับคนเก่งของ เซบีญ่า เพื่อมาเสริมเกมรับให้กับทีม ในช่วงตลาดซัมเมอร์ สิงห์บลูส์ กำลังจะต้องเสียกองหลังคนสำคัญของทีมถึง 2 คน คือ อันโตนิโอ รูดิเกอร์ และ อันเดรส คริสเตนเซ่น ที่กำลังจะหมดสัญญากับทีมหลังจบฤดูกาลนี้ รายงานล่าสุดจากนักข่าวชื่อดังระบุว่า สิงโตน้ำเงินคราม ยังคงให้ความสนใจและกำลังพิจารณายื่นข้อเสนอคว้าตัว คุนเด้ กองหลังจาก เซบีญ่า มาร่วมทีมในช่วงซัมเมอร์นี้ เชลซีพยายามจะคว้าตัว กองหลังวัย 23 ปี มาตั้งแต่ในช่วงตลาดซัมเมอร์ที่ผ่านมาแล้ว แต่ดีลดังกล่าวก็ยังไม่เกิดขึ้น เนื่องจากไม่สามารถเจรจากับ เซบีญ่า ได้ กุนซือคนเก่งของ เชลซี อย่าง โธมัส ทูเคิ่ล ชื่นชอบในฝีเท้าของ ปราการหลังทีมชาติฝรั่งเศส มาตั้งแต่ตอนที่เขายังเป็นโค้ชให้กับทีม ปารีส แซงต์-แชร์กแมง รายงานเพิ่มเติมว่า เซบีญ่า ต้องการค่าตัวกองหลังรายนี้ถึง 80 ล้านยูโร ในขณะที่นักเตะยังคงเหลือสัญญากับทางต้นสังกัดจนถึงปี 2024 อย่างไรก็ตาม เชลซี ไม่ได้เล็งกองหลังอย่าง คุนเด้ ไว้เพียงคนเดียว โดยมีรายงานมาว่า พวกเขาต้องการเสริมทัพในตำแหน่งกองหลัง 3-4 คนในช่วงซัมเมอร์นี้ ,neutral
3,https://www.assist-football.com/2022/05/03/%e0%b9%81%e0%b8%9f%e0%b8%a3%e0%b8%87%e0%b8%84%e0%b9%8c%e0%b8%a3%e0%b8%b1%e0%b8%9a%e0%b8%aa%e0%b8%a1%e0%b8%84%e0%b8%a7%e0%b8%a3%e0%b9%81%e0%b8%9e%e0%b9%89/,“แฟรงค์” รับสมควรแพ้แต่ทีมต้องกล้าเล่นกว่านี้,โธมัส แฟรงค์ นายใหญ่ของ เบรนท์ฟอร์ด ออกมายอมรับความพ่ายแพ้ต่อปีศาจแดง แมนเชสเตอร์ ยูไนเต็ด และมองว่าทีมควรจะสู้ได้มากกว่านี้ กุนซือชาวเดนิช พาทัมบุกไปแพ้ให้กับ ปีศาจแดง 3-0 ในขณะที่ทีมของเขาไม่มีอะไรให้ลุ้นมากนักในช่วง 3 เกมสุดท้ายที่เหลือ “น่าผิดหวัง ผมรู้สึกว่าคืนนี้มันมีโอกาสสำหรับพวกเราที่จะได้อะไรติดมือแต่ก็ถือว่าแฟร์แล้วที่พวกเขาชนะ” แฟรงค์ กล่าวหลังจบเกม “ครึ่งหลังเราเห็นทีมที่ผมอยากเห็นมากขึ้น ทีมที่เล่นกับบอลดุดันกว่าเดิม เรามีโมเมนตั่มนิดหน่อยแต่หลังจากนั้นก็เสียจุดโทษง่ายๆ” “ตอนสกอร์ 2-0 พวกเราเสียโมเมนตั่มและสร้างความผิดพลาดในจังหวะเซ็ตพีชจนกลายเป็นประตูที่สาม ซึ่งมันเป็นประตูที่หลีกเลี่ยงไม่ได้” “สิ่งที่ได้เรียนรู้วันนี้ก็คือพวกเราควรจะเล่นให้กล้าหาญกว่านี้ เราควรจะรับมือกับบอลด้านหลังพวกเราให้ดีกว่านี้ หากเราเล่นเกมรับได้ตามมาตรฐานสูงสุดของพวกเรา เราก็คงไม่แพ้” “เราไม่เคยคิดถึงเรื่องแต้มปลอดภัย เราแค่คิดเรื่องการซ้อมยิงประตูและเกมต่อไป” ,negative
4,https://www.assist-football.com/2022/05/03/%e0%b8%8b%e0%b8%b4%e0%b8%99%e0%b9%81%e0%b8%84%e0%b8%a5%e0%b8%a3%e0%b9%8c%e0%b8%95%e0%b8%b3%e0%b8%ab%e0%b8%99%e0%b8%b4%e0%b8%97%e0%b8%b8%e0%b9%80%e0%b8%84%e0%b8%b4%e0%b8%a5/,อดีตหลังสิงห์เฉ่ง “ทูเคิล” ไม่ส่ง “ลูกากู” ลงสนาม,แฟรงค์ ซินแคลร์ อดีตกองหลัง สิงโตน้ำเงินคราม เชลซี ออกมาแสดงความไม่พอใจต่อ โธมัส ทุเคิล ที่ไม่ยอมส่ง โรเมลู ลูกากู ลงสนามนัดล่าสุดที่บุกไปแพ้เอฟเวอร์ตัน เกมที่กูดิสัน ปาร์ค เชลซีบุกไปโดนลูกยิงของ ริชาร์ลิซอน ในช่วงต้นครึ่งหลัง ก่อนที่ช่วงเวลาที่เหลือจะทวงคืนไม่ได้ทำให้แพ้ไป 1-0 เชลซีเก็บได้แค่ 4 คะแนนจาก 4 นัดหลังสุดในลีก ทำให้ตอนนี้พวกเขามีเสียวเล็กน้อยกับการที่อาจจะหลุดจากพื้นที่ท็อปโฟร์ แม้จะยังรั้งที่ 3 ของตาราง ห่างอาร์เซนอล 3 คะแนน และห่างท็อตแน่ม ฮ็อตสเปอร์ 5 คะแนน เกมนี้ลูกากูมีชื่อเป็นตัวสำรองไม่ได้ลงสนาม ซึ่งซินแคลร์พูดถึงเรื่องนี้ว่า “เกี่ยวกับโรเมลู ลูกากูมันมีปัญหาอยู่แน่ๆ สำหรับผมนะ กับช่วงเวลาที่เหลือ 10 นาทีสุดท้ายในเกมที่คุณต้องการประตู และคุณมีผู้เล่นที่ยิงประตูมามากมาย สำหรับผมมันไม่มีเหตุผลเลยที่จะไม่ส่งเขาลงสนาม 10-15 นาที เพื่อเปลี่ยนเกมและให้ได้อะไรเกิดขึ้น” “โดยเฉพาะการที่คุณเริ่มครอสบอลเข้าไปในกรอบเขตโทษในช่วงท้าย การที่ปล่อยให้เขาอยู่บนม้านั่งสำรองมันค่อนข้างเซอร์ไพรส์ผมมาก” จากนั้นบอกอีกว่า “ผมคงไม่เซอร์ไพรส์ได้เห็นเขาย้าย แน่นอนว่าเชลซีคงต้องการถอนทุนคืน สำหรับเขาแล้วมันคงเหมาะกว่าที่จะย้ายกลับไปทีมอย่างอินเตอร์ ที่ที่เขาสนุกกับฟุตบอลของตนเองและยิงประตูเป็นกอบเป็นกำ” ลูกากู ย้ายจากอินเตอร์กลับไปอยู่เชลซีในฤดูกาลนี้ด้วยค่าตัวเป็นสถิติสโมสรราว 97.5 ล้านปอนด์ แต่เขายิงไปแค่ 5 ประตูจากการลงเล่นในพรีเมียร์ลีก 23 นัด เกมนี้เชลซีใช่ตำสำรองครบสามคน โดยที่ มาเตโอ โควาซิช ลงเล่นแทน จอร์จินโญ่ ในช่วงพักครึ่ง ก่อนที่ ฮาคิม ซีเยค กับ คริสเตียน พูลิซิช จะลงพร้อมกันในนาที 68 พูดถึงการทีไม่ส่งลูกากูลงสนาม ทูเคิลบอกสั้นๆว่า “เพราะเราต้องเปลี่ยนจอร์จินโญ่ และผมเปลี่ยนได้แค่สามคน” เขากล่าว ,neutral
5,https://www.assist-football.com/2022/05/02/%e0%b8%a5%e0%b8%b4%e0%b9%80%e0%b8%a7%e0%b8%ad%e0%b8%a3%e0%b9%8c%e0%b8%9e%e0%b8%b9%e0%b8%a5-%e0%b8%a2%e0%b8%b7%e0%b9%88%e0%b8%99%e0%b8%aa%e0%b8%b1%e0%b8%8d%e0%b8%8d%e0%b8%b2%e0%b9%83%e0%b8%ab%e0%b9%89/,ได้ไปต่อ! หงส์เสนอสัญญา “มิลเนอร์” อยู่ต่ออีก 1 ปี,ลิเวอร์พูล ขยายสัญญาให้กับ เจมส์ มิลเนอร์ อยู่ต่อไปกับทีมอีก 1 ฤดูกาล มีรายงานข่าวว่า ลิเวอร์พูล ได้มีการยื่นข้อเสนอให้ กับรองกัปตันทีมวัยเก๋า อย่าง เจมส์ มิลเนอร์ ขยายสัญญาให้อยู่กับทีมต่อไปหลังจบฤดูกาลนี้ กองกลางวัย 36 ปี เหลือสัญญาอยู่ในถิ่น แอนฟิลด์ อีกเพียงแค่ 2 เดือนเท่านั้น หลังจากเซ็นสัญญาย้ายมาร่วมทัพหงส์แดง แบบไร้ค่าตัวตั้งแต่ปี 2015 รายงานล่าสุดระบุว่า ทีมดังแห่งเมอร์ซีย์ไซด์ ได้ทำการยื่นข้อเสนอขยายสัญญาใหม่ให้ มิลเนอร์ ได้อยู่กับทีมต่อไปอีก 1 ฤดูกาล กุนซือคนเก่งอย่าง เยอร์เก้น คล็อปป์ ที่เพิ่งต่อสัญญาอยู่คุมทีม ลิเวอร์พูล ต่อไปจนถึงปี 2016 ต้องการให้ มิลเนอร์ อยู่กับทีมต่อไป และดูท่าที ของแข้งชาวอังกฤษ ก็อยากจะอยู่กับทีมต่อไปเช่นกัน มิลเนอร์ ในฤดูกาลนี้ ลงสนามให้ ลิเวอ์พูล ไปแล้ว 35 นัดรวมทุกรายการ พร้อมมีผลงาน 3 แอสซิสต์ และเพิ่งได้รับโอกาสลงสนามเป็นตัวจริงพร้อมมีส่วนสำคัญที่ทำให้ทีมบุกไปเฉือน นิวคาสเซิ่ล 1-0 เมื่อสุดสัปดาห์ที่ผ่านมา ,
6,https://www.assist-football.com/2022/05/02/%e0%b8%a2%e0%b8%b9%e0%b8%a3%e0%b8%b4-%e0%b8%97%e0%b8%b5%e0%b9%80%e0%b8%a5%e0%b8%ad%e0%b8%a1%e0%b9%87%e0%b8%ad%e0%b8%87%e0%b8%aa%e0%b9%8c-%e0%b8%ad%e0%b8%a2%e0%b8%b2%e0%b8%81%e0%b9%82%e0%b8%a2%e0%b8%81/,ไปทีมไหน? ลือ “ทีเลอม็องส์” อยากย้ายไปค้าแข้งในสเปน,"ยูริ ทีเลอม็องส์ ได้เผยว่าตนเองอยากไปค้าแข้งใน ลาลีก้า สปน มากกว่าจะอยู่ในพรีเมียร์ลีกต่อไป สื่อชื่อดังในประเทศเบลเยี่ยมรายงานข่าวว่า ยูริ ทีเลอม็องส์ กองกลางตัวเก่งของ เลสเตอร์ ซิตี้ อยากที่จะย้ายไปค้าแข้งในสเปนมากกว่าเล่นในอังกฤษต่อไป ท่ามกลางกระแสข่าวว่าได้รับความสนใจของบิ๊กทีมอย่าง สเปอร์ส , แมนฯ ยูไนเต็ด และ ลิเวอร์พูล ก็ตาม มิดฟิลด์วัย 24 ปี เคยตกเป็นข่าวว่าได้รับความสนใจจาก เรอัล มาดริด เมื่อช่วงตลาดหน้าหนาวที่ผ่านมา แต่สุดท้ายการย้ายทีมก็ไม่เกิดขึ้น แข้งทีมชาติเบลเยี่ยม เหลือสัญญากับ จิ้งจอกสยาม อีกเพียง 1 ปีเท่านั้น โดยคาดกันว่า ทางสโมสรอาจจะต้องจำใจขายนักเตะในช่วงซัมเมอร์นี้ในราคาเพียง 25 ล้านปอนด์ รายงานล่าสุดจากนักข่าวชาวเบลเยี่ยมระบุว่า ทีเลอม็องส์ ได้บอกกับคนใกล้ชิดของเขาว่าอยากย้ายไปค้าแข้งในประเทศสเปนในอนาคต อย่างไรก็ตาม นอกจาก ทีเลอม็องส์ แล้ว ยังมีความเป็นไปได้ที่ เลสเตอร์ จะปล่อยนักเตะออกจากทีมในช่วงซัมเมอร์ ถ้าหากได้ข้อเสนอที่ถูกใจ ไม่ว่าจะเป็น ชัคลาร์ โซยุนชู , อโยเซ่ เปเรซ และ เคเลชี่ อิเฮียนาโช่ ",positive
7,https://www.assist-football.com/2022/05/02/%e0%b8%ad%e0%b8%b1%e0%b8%81%e0%b9%80%e0%b8%8b%e0%b8%a5-%e0%b8%a7%e0%b8%b4%e0%b8%95%e0%b9%80%e0%b8%8b%e0%b8%a5-%e0%b8%a2%e0%b8%b1%e0%b8%99%e0%b8%a5%e0%b8%b2%e0%b8%88%e0%b8%b2%e0%b8%81-%e0%b8%94/,ลาก่อน! “วิตเซล” เฟิร์มลาเสือเหลืองหลังจบฤดูกาลนี้,อักเซล วิตเซล ยืนยันว่าจะย้ายออกจาก ดอร์ทมุนด์ เมื่อสัญญาของเขาสิ้นสุดลงหลังจบฤดูกาลนี้ อักเซล วิตเซล มิดฟิลด์ตัวเก่งของ โบรุสเซีย ดอร์ทมุนด์ ได้ออกมายืนยันว่าจะโบกมือลาทีม เมื่อสัญญาของเขาหมดลงหลังจบฤดูกาลนี้ กองกลางวัย 33 ปี เป็นหนึ่งในนักเตะที่ได้ลงสนามให้ เสือเหลือง มากที่สุดตลอดช่วง 4 ฤดูกาลหลัง แต่สัญญาของเขากับทีมกำลังจะหมดลงหลังจากจบฤดูกาลนี้ และเจ้าตัวได้ออกมายืนยันแล้วว่าฤดูกาลนี้เป็นปีสุดท้ายของเขากับสโมสร “ในปีนี้เราเสียประตูเยอะเกินไป เหมือนปีที่แล้ว นั่นคือสิ่งที่เราต้องรีบแก้ไขให้ดีในฤดูกาลหน้า ที่ผมพูดว่า เรา เพราะผมยังอยู่กับ ดอร์ทมุนด์ แต่ทุกคนรู้ดีว่าผมจะไม่อยู่ที่นี่อีกต่อไปแล้ว” “ผมจะย้ายออกจากทีมหลังหมดสัญญาส้นฤดูกาลนี้ ผมเสียใจที่ต้องไปจากที่นี่ ผมมีเพื่อนร่วมทีมที่ยอดเยี่ยมหลายคนผมตั้งตารอเกมสุดท้ายนะแต่ผมก็เศร้ามากเช่นกัน” วิตเซล กล่าว แข้งทีมชาติเบลเยี่ยม ย้ายจาก เทียนจิน ฉวนเจียน มาอยู่กับ ดอร์ทมุนด์ ตั้งแต่เมื่อปี 2018 และได้กลายเป็นหัวใจสำคัญของทีมมาโดยตลอด วิตเซล ลงรับใช้สโมสรรวมทั้งหมด 143 นัด รวมไปถึงในฤดูกาลนี้ที่ลงเล่นภายใต้การทำทีมของ มาร์โก้ โรเซอ ไปแล้วถึง 39 นัดรวมทุกรายการ สำหรับเกมนัดสุดท้ายของ วิตเซล กับ ดอร์ทมุนด์ จะเป็นการพบกับ แฮร์ธ่า เบอร์ลิน ในอีก 2 สัปดาห์ข้างหน้า และต้องรอดูว่าเขาจะย้ายไปเล่นให้กับทีมไหน ,neutral
8,https://www.assist-football.com/2022/05/02/%e0%b9%81%e0%b8%a5%e0%b8%a1%e0%b8%9e%e0%b9%8c%e0%b8%ab%e0%b8%a7%e0%b8%b1%e0%b8%87%e0%b9%81%e0%b8%9f%e0%b8%99%e0%b9%80%e0%b8%82%e0%b9%89%e0%b8%b2%e0%b9%83%e0%b8%88/,“แลมพ์” หวังแฟนสิงห์ไม่เคืองที่ดีใจ,แฟรงค์ แลมพาร์ด กุนซือเอฟเวอร์ตัน กำลังพาทีมดิ้นรนหนีตกชั้น และโชว์ฟอร์มเปิดบ้านเฉือนชนะ เชลซี อดีตทีมเก่า 1-0 กุนซือชาวอังกฤษ เพิ่งโชว์ฟอร์มเก่งเปิดบ้านเฉือนชนะทีมเก่าของเขาอย่าง “สิงห์บลูส์” 1-0 ทำให้เก็บเพิ่มเป็น 32 แต้มตามหลังอันดับ 17 แค่ 2 แต้มและโอกาสหนีตกชั้นยังเปิดกว้าง “ผมเคารพ เชลซี และแฟนบอลของพวกเขามาก เพราะฉะนั้นผมก็หวังว่าพวกเขาจะเข้าใจที่ผมตื่นเต้นกับชัยชนะนี้” แลมพาร์ด กล่าวกับSky Sportsหลังจบเกม “วันนี้พวกเราต้องการชัยชนะมากกว่าพวกเขา ผมต้องบอกด้วยความสัตย์จริง สำหรับผมวันนี้มันคือเรื่องของ เอฟเวอร์ตัน สามแต้มมันสำคัญมากสำหรับเรา คุณคงเห็นว่ามันมีความหมายกับแฟนบอลขนาดไหน” “พวกเขารู้และเข้าใจ พวกเขาหนุนหลังเราตลอด สนามนี้มันต้องเป็นที่ๆยากจะมาเยือน ผลการแข่งขันที่ กูดิสัน มันก็ดีมาตลอดก่อนที่ผมจะมา เราต้องรักษามันไว้ให้ได้” “เราต้องสู้เพื่อเก็บแต้ม เราอยู่ในโซนตกชั้น เราต้องสู้ด้วยสปิริตเหมือนเดิมแบบนี้ทุกเกม”  ,positive
9,https://www.assist-football.com/2022/05/02/%e0%b8%8b%e0%b8%ad%e0%b8%99%e0%b9%82%e0%b8%9f%e0%b8%81%e0%b8%b1%e0%b8%aaucl/,“ซอน” โฟกัส UCL มากกว่ารางวัลส่วนตัว,ซน ฮึง-มิน ดาวยิงตัวเก่งของ ท็อตแน่ม ฮอตสเปอร์ หวังพาทีมไปเล่น ยูฟ่า แชมเปี้ยนส์ลีก ให้ได้และไม่สนใจรางวัลรองเท้าทองคำ แข้งวัย 29 ปี เพิ่งโชว์ฟอร์มเก่งยิงไป 2 ประตูช่วยทีมเปิดบ้านเอาชนะ เลสเตอร์ ซิตี้ 3-1 ตามหลัง อาร์เซน่อล อันดับ 4 ที่ 2 แต้ม ในขณะที่เจ้าตัวยิงประตูในลีกไปแล้ว 19 ลูกตามหลังดาวซัลโวอย่าง โม ซาล่าห์ แค่ 3 ลูก “รางวัลนี้มันไม่สำคัญสำหรับผม การยิงประตูมันก็ดีนะแต่คุณคงไม่สามารถยิงคนเดียวได้ คุณต้องการทีม” ซน กล่าว “หากผมมีโอกาสผมก็จะพยายามยิงประตู รางวัลรองเท้าทองคำมันคือความฝันแต่ทีมยังคงเป็นสิ่งที่สำคัญที่สุด” “เราอยากจะจบอันดับโควต้าแชมเปี้ยนส์ลีก ผมอยากไปเล่นแชมเปี้ยนส์ลีกในซีซั่นหน้า” ,positive
